date,market,stock_id,stock_name,open,high,low,close,change,volume,turnover,pe,pb,dividend_yield,industry
2026-05-03,TWSE,00400A,主動國泰動能高息,12.8,13.0,12.79,12.92,0.21,70041137.0,904555892.0,,,,
2026-05-03,TWSE,00401A,主動摩根台灣鑫收,11.96,12.15,11.93,12.03,0.15,16340499.0,197166613.0,,,,
2026-05-03,TWSE,0050,元大台灣50,91.25,91.9,90.3,90.5,-0.25,89209769.0,8111730781.0,,,,
2026-05-03,TWSE,0051,元大中型100,126.2,127.4,125.6,126.75,1.2,136325.0,17274494.0,,,,
2026-05-03,TWSE,0052,富邦科技,53.55,53.6,52.65,52.65,-0.4,47706881.0,2530600091.0,,,,
2026-05-03,TWSE,0053,元大電子,211.05,211.1,209.0,209.25,1.8,28564.0,5990724.0,,,,
2026-05-03,TWSE,0055,元大MSCI金融,33.5,33.55,33.19,33.25,-0.25,185570.0,6203099.0,,,,
2026-05-03,TWSE,0056,元大高股息,41.04,41.3,40.81,40.9,-0.03,46787938.0,1923116945.0,,,,
2026-05-03,TWSE,0057,富邦摩台,271.8,271.8,270.5,270.5,0.85,4919.0,1332154.0,,,,
2026-05-03,TWSE,0061,元大寶滬深,24.39,24.51,24.38,24.4,0.13,167788.0,4099959.0,,,,
2026-05-03,TWSE,006203,元大MSCI台灣,167.05,167.05,164.95,164.95,-1.05,24261.0,4033895.0,,,,
2026-05-03,TWSE,006204,永豐臺灣加權,195.7,196.5,195.7,196.5,0.15,22751.0,4453761.0,,,,
2026-05-03,TWSE,006205,富邦上証,40.41,40.86,40.41,40.79,0.38,659325.0,26807069.0,,,,
2026-05-03,TWSE,006206,元大上證50,36.94,37.35,36.94,37.22,0.3,135807.0,5054869.0,,,,
2026-05-03,TWSE,006207,復華滬深,32.63,32.9,32.63,32.85,0.26,661689.0,21724624.0,,,,
2026-05-03,TWSE,006208,富邦台50,212.4,212.8,209.45,209.75,-0.7,4074229.0,859954663.0,,,,
2026-05-03,TWSE,00625K,富邦上証+R,,,,,0.0,,,,,,
2026-05-03,TWSE,00631L,元大台灣50正2,29.3,29.32,28.5,28.61,-0.21,172580528.0,4991490951.0,,,,
2026-05-03,TWSE,00632R,元大台灣50反1,11.85,12.01,11.82,11.98,0.05,104448274.0,1244878454.0,,,,
2026-05-03,TWSE,00633L,富邦上証正2,51.2,52.0,51.2,51.55,0.15,2465230.0,127539894.0,,,,
2026-05-03,TWSE,00634R,富邦上証反1,3.1,3.11,3.09,3.11,0.0,419690.0,1298085.0,,,,
2026-05-03,TWSE,00635U,期元大S&P黃金,48.03,48.1,47.74,47.82,-0.44,5341635.0,256042273.0,,,,
2026-05-03,TWSE,00636,國泰中國A50,28.14,28.39,28.14,28.32,0.17,1270141.0,35965514.0,,,,
2026-05-03,TWSE,00636K,國泰中國A50+U,8.98,8.98,8.98,8.98,-0.01,200.0,1796.0,,,,
2026-05-03,TWSE,00637L,元大滬深300正2,21.22,21.48,21.14,21.28,0.07,15953462.0,340096003.0,,,,
